offer_id,category,cluster_id,brand,title,description,price,specTableContent
6082212,Camera_and_Photo,368922,," ""TARJETA SD 32GB SDHC CLASE 10 300X"" 300X | Tradineur.com""","""Tipología: Secure Digital analogico; Capacidad: 32 GB; Velocidad de escritura max: 45 MB/s; Velocidad de lectura max: 45 MB/s; Clase: 10; Función protección datos: Sí"" ",,
12141375,Camera_and_Photo,80360,," ""Sigma 4.5mm f/2.8 EX DC Circular Fisheye HSM (Sony Alpha)""@en Aden Camera ""@en "" Sigma Alpha) | Digital SLR Cameras Toronto Canada Store","""
                        This autofocus circular fisheye lens has an angle of view of 180 degrees in all directions. It is exclusively designed for digital SLR cameras with the APS-C size image sensor. When used in conjunction with digital SLRs with APS-C size image sensors, it produces circular image within the frame.
 

The first 180 degree circular fisheye lens designed specifically for APS-C size digital SLR cameras
Fast f/2.8 maximum aperture making it ideal for low light photography
Minimum focusing distance of 13.5cm and a maximum magnification of 1:6
SLD glass minimizes color aberration
Equipped with HSM with full-time manual focus override
Equisolid angle projection method is possible for art and scientific use

Please Note: This lens is designed for Sony Alpha Digital SLR Cameras with APS-C Size Sensors
7 Year Sigma Canada Warranty
 For more details, visit the Sigma website
 


 
                    ""@en ",," Manufacturer: Sigma Sku #: EXDC4.5HAS Our Price: To See Product Details, add to your cart Sigma 4.5mm f/2.8 EX DC Circular Fisheye HSM (Sony Alpha) Our Price: $1,149.00 Close MSRP: $1,229.95 Quantity:   Availability: Special Order"
10455687,Camera_and_Photo,217001,," ""Nikkor AF-S DX 10-24mm f3.5-4.5G ED""@en Aden Camera ""@en Digital Cameras Toronto Canada Store "" Nikkor ED | SLR","""
                         
** Have a question regarding Nikon MAP price or purchase inquires, please call 416-977-9711 or email us at info@adencamera.com. **
The newest lens in the expansive DX-format line-up, AF-s DX NIKKOR 10-24mm f/3.5-4.6G ED provides photographers the opportunity to capture unique perspectives in a variety of shooting situations. Compact and lightweight, the lens offers a focal length of FX-format equivalent of 15-36mm, ideal for a variety of applications including interiors, architecture and sweeping landscapes. This lens offer an array of versatile Nikon technologies including Nikon's compact Silent Wave Motor (SWM) technology for quiet, fast and accurate auto focus performance. An advanced optical formula, featuring two extra-low dispersion(ED) glass and three aspherical lens element renders stunning images while minimizing distortion.
5 Years Nikon Canada Warranty
1 Year Nikon Worldwide Warranty 
                    ""@en ",," Manufacturer: Nikon Sku #: 2181 Our Price: $999.00 Ends 1/11/2018 Save: $130.00 MSRP: $1,129.00 Quantity:   Availability: In Stock FREE SHIPPING WITHIN CANADA!"
16996592,Camera_and_Photo,9366094,," ""Sony HDR-CX580V High Definition Handycam Camcorder (Black)""@en (Black) - Fumfie.com""@en",,,
4907487,Camera_and_Photo,841403,," ""Canon EF 70-200mm 2.8L IS II USM""@en "" Canon USM L Series telephoto zoom lens for EOS SLR cameras at Crutchfield.com ""@en","""L Series telephoto zoom lens for Canon EOS SLR cameras""@en ",, General Brand Compatibility Canon Image Stabilization Yes Focal Length 70-200mm Maximum Aperture f/2.8 Weight 52.6 ounces Parts Warranty 1 Year Labor Warranty 1 Year
17283627,Camera_and_Photo,5383533,," ""nikon d5000""@en-US ""Nikon D5000 Digital SLR Camera - ecoustics.com""@en-US",,,
16399243,Camera_and_Photo,217001,," ""Nikon 10-24mm f/3.5-4.5G ED AF-S DX Zoom-Nikkor Lens""@en Lens - Fumfie.com""@en",,,
15757419,Camera_and_Photo,2325456,"""Transcend"""," ""Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail"""," ""TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail""","""5.99"", ""USD""",
3971067,Camera_and_Photo,979421,," ""Wireless N Day & Night Pan/Tilt Cloud Camera""@ro ""DCS-5020L Wireless Camera | D-Link Romania""@ro","""
              The DCS-5020L Wireless N Day & Night Pan/Tilt Cloud Camera is a day/night network camera that easily connects to your existing home network for remote viewing on a range of mobile devices. It features pan, tilt and digital zoom function to allow you to see a wider area with a single camera, built-in Wi-Fi extender to effortlessly expand your wireless coverage, night vision up to 5 metres, sound and motion detection for the ultimate in peace of mind, and H.264 video compression for a high-quality image.
				
					
					
						
							Download the datasheet.
						
					
				
              
				 
	                        List Retailers
	                        
				      
              
            ""@ro ",, Version Description Date 1.14.09 Firmware 20.12.2016 Download 1.01.02 Release notes included 15.08.2016 Download 1.13.05 Firmware 27.01.2016 Download 1.12.03 Firmware 21.10.2015 Download 1.11.08 Firmware 19.10.2015 Download Version Description Date DEU_Quick_Guide_on_mydlink_Cameras_Rev Quick Guide on mydlink Cameras 03.12.2014 Download CE declaration CE declaration 17.10.2014 Download DEU_IP_Surveillance_Cheat_Sheet IP Surveillance Cheat Sheet 25.04.2014 Download How to enable Java on Mac OS X for mydlink How to enable Java on Mac OS X for mydlink 29.07.2013 Download
11150432,Camera_and_Photo,495045,"""Canon""@en"," ""Extender EF 2x III""@en ""Canon Extender III | Canon Online Store""@en","""Extender EF 2X III""@en ",,
