id,category,cluster_id,brand,title,description,price,specTableContent
13812379,Jewelry,3893035,"""Cartier"""," ""Cartier Roadster W62004V3"" W62004V3 Watch | Watchfinder & Co.""","""This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity."" ",," Name Monthly Repayment Total Amount Cost of Credit APR Interest Free Finance (6 Months) £293.75 £2,350.00 £0.00 0% Interest Free Finance (12 Months) £146.87 £2,350.00 £0.00 0% Classic Credit 24 Months 9.9% £80.92 £2,529.58 £179.58 9.9% Classic Credit 36 Months 9.9% £56.44 £2,619.34 £269.34 9.9% Classic Credit 48 Months 9.9% £44.27 £2,712.46 £362.46 9.9%"
1567262,Jewelry,664971,"""Daniel Wellington""@es"," ""York Silver Reloj para mujer 36mm""@es ""Daniel Wellington York 36mm nur 169 00 €""@es",,,
12112900,Jewelry,1642088,," "" Ladies Karl Lagerfeld Joleigh Watch KL3409 ""Latest Mens Watches""",,,
3322087,Jewelry,255636,," ""Max Bill Automatic Acier/Noir - Junghans""@fr-fr Junghans 027/3400.00""@fr-fr","""

							Rétro et épurée, cette montre automatique pour homme de la collection Max Bill est signée Junghans. Elle arbore un boîtier rond en acier, un cadran noir, ainsi qu’un bracelet en cuir noir. Son style classique et intemporel en fait un garde-temps idéal tant pour la vie de tous les jours que pour les occasions les plus habillées.

															
									(Description détaillée)
								
							
						""@fr-fr ",, Genre Mixte Âge Adulte Boitier Acier inoxydable Couleur du cadran Noir Couleur du boîtier Argent Taille 38mm Epaisseur 10mm Verre Plexiglas Affichage Analogique Mouvement Automatique Bracelet Cuir Couleur du bracelet Noir Entrecorne 20mm Fermoir Boucle ardillon Etancheite 3 ATM / 30 mètres Garantie 2 ans
10589615,Jewelry,1491262,," "" Unisex Polar M200 Bluetooth GPS Activity Tracker Heart Rate Monitor Alarm Chronograph Watch 90067741 ""Ladies Watches | Designer For Women The Hut""",,,
5987956,Jewelry,11017613,," ""Bvlgari LVCEA Watch LU33C6SSPGD"" LU33C6SSD | Dejaun Jewelers""","""<p> A luxury timepiece makes a brilliant statement of style. While most people think watches are simply a practical accessory, a fine timepiece can also add elegance to your look. At Dejaun Jewelers, we are proud to offer a large collection of some of the worldâ€™s most beloved luxury watch brands, including Bvlgari. We are also proud to be an authorized Bvlgari retailer in Los Angeles. Bvlgari's exquisite timepieces are built to last. This Ladies watch with model number LU33C6SSPGD is part of the unique LVCEA collection. It features a skillfully crafted Automatic (self winding) movement, Stainless steel, 18k pink gold band, and a Stainless steel bezel.</p>"" ",,
15400530,Jewelry,15120667,," ""Michele Deco Madison Watch MW06T00A0101_MS18AA030402"" ""Shop Michele MW06T01C5018_MS18AU285048 Watches | Costello Jewelry Company""","""<p> At Costello Jewelry Company in Naperville, IL we offer a wide selection of precise watches.We are delighted to be a Michele retailer. As an authorized retailer, you can rest assured that every Michele watch we carry is 100% authentic and backed by a generous warranty.  Michele watches are built to last and they are loved for their attention to detail. This MW06T00A0101_MS18AA030402 Lizard Ladies Michele watch features a Scratch resistant sapphire crystal for worry-free wear. Whether you are looking for a watch that is stylish and sophisticated or casual and sporty we are confident that you’ll find just what you are looking for. </p>"" ",,
7821002,Jewelry,2636826,," ""Omega Seamaster Planet Ocean ""@en"," brushed stainless steel case which is topped by a blue ceramic bezel ring. This ring has polished and ribbed edge. You can find orange coloured numbers indexes on the surface. It also features luminous dot triangle to mark beginning point. The dial of watch with index markers hands "" Design Environmental conservation meets innovative making Omega Seamaster Planet Ocean GMT 232.30.44.22.03.001. round be seen at transparent back. Features movement inside this Caliber 8605. 38 jewels an approximate power reserve 60 hours. Co-Axial that Omega's ""Si 14"" silicon balance spring all have luminescent fills. Hours seconds emit luminescence while minute hand rotating  a radiant green hue. date window placed 3 o’clock. Helium Escapement Valve located edge 10 o'clock position crown o’clock position. protected domed scratch resistant sapphire crystal impressive water resistance down depth 600 metres. Watch Association  In 2011 sea grasses coral reefs in oceans Southeast Asia. ""@en makes extremely shocks magnetic fields. COSC certified for accuracy timekeeping. function allows travellers track two time zones same using markings too. addition these Good foundation formed partnership aim raising awareness about beauty majesty oceans. A portion proceeds from been pledged OMEGA full fund project preserve mangroves","""420546.00""@en, ""2017-12-02""@en, ""INR""@en"," Collection Seamaster Series Planet Ocean Features Bi-directional Rotating Bezel, Date, GMT, Helium Escape Valve Case Size 43.5 mm   Case Shape Round Case Material Steel Movement Automatic Strap Material Steel Dial Colour Blue Gender Men Water Resistance (M) 600 Glass Material Sapphire Crystal Warranty Period 4 years"
2095477,Jewelry,763813,," ""Raymond Weil Toccata Watch 5488-STC-50001"" ""Shop Raymond 5488-SL5-65001 Watches | Costello Jewelry Company""","""<p> At Naperville’s premier jeweler we offer a wide selection of luxury watches.We are thrilled to be a Raymond Weil retailer. As an authorized retailer, you can rest assured that every Raymond Weil watch we carry is 100% authentic and backed by a generous warranty.  Raymond Weil watches are crafted to last and they are loved for their attention to detail. This 5488-STC-50001 Leather Gents Raymond Weil watch features a Scratch resistant sapphire crystal for worry-free wear. Whether you are looking for a watch that is stylish and sophisticated or casual and sporty we are confident that you’ll find just what you are looking for. </p>"" ",,
13243576,Jewelry,105347,"""Daniel Wellington""@en"," ""Dapper York Rose Gold 34 mm""@en ""Daniel Wellington Dapper mm nur € 159.00""@en",,,
