,total_time,tokens,predictions,top_k,faithfulness,model,dataset,uncerta(freq)_sample,uncerta(union)_sample,uncerta(intersection)_sample
0,97.95749402046204,78225.1,1519.9,5,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,abt_buy,"{'validity': 0.9999999999833333, 'proximity': 0.7222222222101853, 'sparsity': 0.8194444444307869, 'diversity': 0.0}",,
1,113.5782299041748,166205.9,3229.9,5,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,abt_buy,,"{'validity': 0.999999999975, 'proximity': 0.6666666666500001, 'sparsity': 0.8333333333124999, 'diversity': 0.0}",
2,91.92658400535583,244554.7,4752.8,5,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,abt_buy,,,"{'validity': 0.9999999999833333, 'proximity': 0.7499999999875001, 'sparsity': 0.8124999999864582, 'diversity': 0.0}"
3,158.48166298866272,365906.0,7095.5,5,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,beers,"{'validity': 0.799999999984, 'proximity': 0.2749999999945, 'sparsity': 0.9449999999811, 'diversity': 0.0}",,
4,132.2473180294037,471631.1,9132.8,5,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,beers,,"{'validity': 0.7142857142755102, 'proximity': 0.2678571428533163, 'sparsity': 0.9464285714150509, 'diversity': 0.0}",
5,261.14698600769043,592734.3,11456.8,5,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,beers,,,"{'validity': 0.7142857142755102, 'proximity': 0.2678571428533163, 'sparsity': 0.9464285714150509, 'diversity': 0.0}"
6,252.88479709625244,675031.8,13068.2,5,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,amazon_google,"{'validity': 0.9999999999888889, 'proximity': 0.9259259259156377, 'sparsity': 0.7685185185099794, 'diversity': 0.0}",,
7,2254.8949551582336,757365.9,14680.5,5,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,amazon_google,,"{'validity': 0.9999999999888889, 'proximity': 0.9259259259156377, 'sparsity': 0.7685185185099794, 'diversity': 0.0}",
8,1378.6911318302155,839622.2,16291.4,5,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,amazon_google,,,"{'validity': 0.9999999999888889, 'proximity': 0.9259259259156377, 'sparsity': 0.7685185185099794, 'diversity': 0.0}"
9,1803.606593132019,1180454.7,22956.4,5,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,fodo_zaga,"{'validity': 0.49999999999166667, 'proximity': 0.33333333332777776, 'sparsity': 0.9523809523650794, 'diversity': 0.0}",,
10,871.8476719856262,1496708.6,29138.2,5,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,fodo_zaga,,"{'validity': 0.0, 'proximity': 0.0, 'sparsity': 0.0, 'diversity': 0.0}",
11,1843.4027540683746,1878079.2,36596.8,5,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,fodo_zaga,,,"{'validity': 0.5714285714204081, 'proximity': 0.32142857142397957, 'sparsity': 0.9540816326394316, 'diversity': 0.0}"
12,650.43590092659,2034479.8,39627.5,5,{'uncerta(freq)_sample': 0.0},uncerta(freq)_sample,walmart_amazon,"{'validity': 0.9999999999666667, 'proximity': 0.43333333331888885, 'sparsity': 0.9277777777468518, 'diversity': 0.0}",,
13,387.07149386405945,2164972.9,42142.7,5,{'uncerta(union)_sample': 0.0},uncerta(union)_sample,walmart_amazon,,"{'validity': 0.99999999995, 'proximity': 0.499999999975, 'sparsity': 0.9166666666208333, 'diversity': 0.0}",
14,735.5143661499023,2416702.6,47018.7,5,{'uncerta(intersection)_sample': 0.0},uncerta(intersection)_sample,walmart_amazon,,,"{'validity': 0.8749999999890625, 'proximity': 0.43749999999453126, 'sparsity': 0.927083333321745, 'diversity': 0.0}"
