,id,pred1,pred2,label,agree,kt,cos_sim
0,1,0,0,False,True,0.9999999999999999,0.11118739749916519
1,2,0,0,False,True,0.8666666666666666,0.583111187267418
2,3,1,1,True,True,0.0,0.4956933847556471
3,4,0,0,False,True,-0.06666666666666665,0.9918738900756556
4,5,0,0,False,True,0.7333333333333333,0.6792361427938939
5,6,1,1,False,True,0.9999999999999999,0.27378703691009704
6,7,1,1,False,True,0.2,0.10085458113185984
7,9,1,1,False,True,0.8666666666666666,0.40857528153788336
8,10,1,1,False,True,0.8666666666666666,0.7423074889580903
9,11,0,0,False,True,0.8666666666666666,0.6292853089020909
10,12,0,0,False,True,0.9999999999999999,0.0
11,13,0,0,False,True,0.8666666666666666,0.6152747316818011
12,14,0,0,False,True,0.9999999999999999,0.9271726499455306
13,15,0,0,False,True,0.8666666666666666,0.0
14,16,0,0,False,True,0.9999999999999999,0.5296394778739674
15,17,1,1,False,True,0.06666666666666665,0.8334859298036907
16,18,1,1,False,True,0.06666666666666665,0.0
17,19,0,0,False,True,0.3333333333333333,0.7672118338351145
18,21,0,0,False,True,0.9999999999999999,0.0
19,22,1,1,False,True,0.9999999999999999,0.4212724049699781
20,23,1,1,False,True,0.9999999999999999,0.4407626405829471
21,26,1,1,True,True,-0.06666666666666665,0.0
22,27,1,1,False,True,0.7333333333333333,0.0
23,28,0,0,False,True,0.7333333333333333,0.9315412416390099
24,29,1,1,False,True,0.06666666666666665,0.0
25,30,1,1,False,True,0.06666666666666665,0.0
26,32,1,1,False,True,0.8666666666666666,0.0
27,33,0,0,False,True,0.9999999999999999,0.3423484325829483
28,34,1,1,False,True,0.06666666666666665,0.8194016708203835
29,35,0,0,False,True,0.7333333333333333,0.6195040004982408
30,36,0,0,False,True,0.9999999999999999,0.22730460242014391
31,37,0,0,False,True,0.2,0.045291081365783824
32,38,0,0,False,True,0.9999999999999999,0.770781385408272
33,39,0,0,False,True,0.8666666666666666,0.3777061202180189
34,41,0,0,False,True,0.4666666666666666,0.9561749908399729
35,42,1,1,False,True,-0.06666666666666665,0.0
36,43,0,0,False,True,0.8666666666666666,0.8989790127172727
37,44,1,1,False,True,0.7333333333333333,0.0
38,45,0,0,False,True,0.4666666666666666,0.49999999999999994
39,46,1,1,True,True,0.06666666666666665,0.0
40,47,1,1,True,True,-0.06666666666666665,0.42968258270121684
41,48,0,0,False,True,0.8666666666666666,0.3349469226516178
42,49,1,1,False,True,0.2,0.3715802678087691
