,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.8666666666666666,0.0
1,1,0,0,False,True,0.8666666666666666,0.0504356277224002
2,2,0,0,False,True,0.9999999999999999,0.9479979456950405
3,3,1,0,True,False,0.0,0.9612370197756297
4,4,0,0,False,True,0.06666666666666665,0.9603855608722545
5,5,0,0,False,True,,0.0
6,6,1,0,False,False,0.9999999999999999,0.592018105207268
7,9,1,0,False,False,0.9999999999999999,0.6338626302166928
8,10,1,0,False,False,0.9999999999999999,0.9307051283814335
9,11,0,0,False,True,,0.0
10,12,0,0,False,True,0.8666666666666666,0.0
11,13,0,0,False,True,,0.0
12,14,0,0,False,True,,0.0
13,16,0,0,False,True,0.9999999999999999,0.9620445852872096
14,17,1,0,False,False,0.06666666666666665,0.8437131336253169
15,18,1,0,False,False,,0.0
16,19,0,0,False,True,0.3333333333333333,0.9370801388386908
17,20,1,0,False,False,0.7333333333333333,0.943120600706784
18,22,1,0,False,False,0.9999999999999999,0.6045119616850059
19,23,1,0,False,False,0.9999999999999999,0.6800494879166465
20,24,0,0,False,True,0.2,0.6222641269414146
21,25,1,0,False,False,0.7333333333333333,0.9227939213617697
22,26,1,0,True,False,0.2,0.0
23,27,1,0,False,False,0.8666666666666666,0.0
24,28,0,0,False,True,0.9999999999999999,0.9554675101321672
25,29,1,0,False,False,,0.0
26,30,1,0,False,False,0.3333333333333333,0.0
27,32,1,0,False,False,0.9999999999999999,0.0
28,33,0,0,False,True,0.8666666666666666,0.04684984326411154
29,34,1,0,False,False,0.2,0.020141487362769023
30,35,0,0,False,True,,0.0
31,37,0,0,False,True,0.6,0.028644594961577313
32,38,0,0,False,True,0.9999999999999999,0.9530859498513802
33,39,0,0,False,True,0.9999999999999999,0.633729538147396
34,40,1,0,False,False,0.3333333333333333,0.06185895741317419
35,42,1,0,False,False,-0.06666666666666665,0.0
36,43,0,0,False,True,0.9999999999999999,0.0
37,44,1,0,False,False,0.9999999999999999,0.0
38,45,0,0,False,True,0.6,0.9460802599806519
39,46,1,1,True,True,0.4666666666666666,0.0
40,47,1,0,True,False,0.06666666666666665,0.8710278345762158
41,48,0,0,False,True,,0.0
42,49,1,0,False,False,,0.0
