,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,-0.2,0.7276068751089989
1,1,0,0,False,True,0.3333333333333333,0.511766315719159
2,2,0,0,False,True,0.3333333333333333,0.1701034543599429
3,3,0,0,False,True,0.6,0.11322770341445959
4,4,0,1,False,False,0.9999999999999999,0.08247860988423225
5,5,0,0,False,True,-0.3333333333333333,0.5669467095138409
6,6,0,0,False,True,0.2,0.21693045781865616
7,7,0,0,False,True,-0.4666666666666666,0.6038810848771178
8,8,0,1,False,False,-0.4666666666666666,0.07868894753646336
9,9,0,0,False,True,0.6,0.10882143751650175
10,10,0,0,False,True,0.6,0.27975144247209416
11,11,0,0,False,True,-0.2,0.3464101615137755
12,12,0,0,False,True,0.6,0.3268602252303068
13,13,0,1,False,False,0.6,0.23312620206007845
14,14,0,0,False,True,0.9999999999999999,0.13693063937629152
