,id,pred1,pred2,label,agree,kt,cos_sim
0,0,1,1,False,True,-0.21428571428571427,0.6437963064592142
1,1,1,1,False,True,-0.4999999999999999,0.0
2,2,1,1,True,True,0.07142857142857142,0.0
3,3,1,1,False,True,0.42857142857142855,0.0
4,4,1,1,True,True,0.21428571428571427,0.0
5,5,1,1,False,True,-0.3571428571428571,0.8065617122487496
6,6,0,0,False,True,-0.07142857142857142,0.8908708063747479
7,7,1,1,True,True,0.14285714285714285,0.0
8,8,1,1,False,True,0.42857142857142855,0.0
9,9,0,0,False,True,0.21428571428571427,0.8928364443433809
