,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999998,0.872081599272381
1,1,1,1,True,True,-0.1515151515151515,0.984126984126984
2,2,0,0,False,True,0.4848484848484848,0.8083672763401877
3,3,1,1,True,True,0.4666666666666666,0.0
4,4,0,0,False,True,0.5151515151515151,0.9885710532241611
5,5,0,0,False,True,-0.1515151515151515,0.6651330399133046
6,6,0,0,False,True,0.1818181818181818,0.9999999999999998
7,7,0,0,False,True,0.9999999999999998,0.7610423906471905
8,8,1,1,True,True,0.3333333333333333,0.9723448696087955
9,9,0,0,False,True,0.9999999999999998,1.0000000000000002
