,id,pred1,pred2,label,agree,kt,cos_sim
0,1,0,0,False,True,-0.3333333333333333,0.5751797717724085
1,2,0,0,False,True,0.4666666666666666,0.5337907620802703
2,3,1,0,True,False,-0.06666666666666665,0.7343418693075583
3,4,0,0,False,True,0.4666666666666666,0.9597017299083671
4,5,0,0,False,True,,0.0
5,6,1,0,False,False,0.6,0.39052512118475524
6,9,1,0,False,False,0.7333333333333333,0.6201079731023339
7,10,1,0,False,False,0.06666666666666665,0.855925327494905
8,12,0,0,False,True,0.6,0.6328321261532986
9,13,0,0,False,True,,0.0
10,14,0,0,False,True,,0.0
11,16,0,0,False,True,0.7333333333333333,0.5695552297430309
12,17,1,0,False,False,-0.2,0.7304620997882458
13,18,1,0,False,False,,0.0
14,19,0,0,False,True,0.8666666666666666,0.7848417108477111
15,20,1,0,False,False,0.3333333333333333,0.940604899964423
16,23,1,0,False,False,-0.3333333333333333,0.8617508926706579
17,24,0,0,False,True,0.3333333333333333,0.6489922959824398
18,25,1,0,False,False,-0.4666666666666666,0.7900210458838443
19,26,1,0,True,False,0.4666666666666666,0.5912292414354372
20,27,1,0,False,False,0.06666666666666665,0.45540506370804446
21,28,0,0,False,True,0.6,0.7494652389372771
22,29,1,0,False,False,,0.0
23,33,0,0,False,True,-0.06666666666666665,0.28320417295753725
24,34,1,0,False,False,0.8666666666666666,0.4977762727875426
25,35,0,0,False,True,,0.0
26,37,0,0,False,True,0.2,0.6563301233138936
27,38,0,0,False,True,0.2,0.7080755158551557
28,39,0,0,False,True,0.06666666666666665,0.6122504272795897
29,40,1,0,False,False,0.6,0.8081220356417687
30,42,1,0,False,False,-0.06666666666666665,0.5667675890816686
31,43,0,0,False,True,0.6,0.0
32,45,0,0,False,True,0.6,0.5422277098159002
33,46,1,1,True,True,0.7333333333333333,0.5801160348116041
34,47,1,0,True,False,-0.2,0.7818158063483879
35,48,0,0,False,True,,0.0
