,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.9999999999999999,0.0
1,1,0,0,False,True,0.7333333333333333,0.0
2,2,0,0,False,True,0.9999999999999999,0.1745743121887939
3,3,0,0,False,True,0.06666666666666665,0.16012815380508716
4,4,1,1,False,True,0.3333333333333333,0.1636634176769943
5,5,0,0,False,True,-0.2,0.0
6,6,0,0,False,True,0.9999999999999999,0.0
7,7,0,0,False,True,0.6,0.48566186425718266
8,8,1,1,False,True,-0.3333333333333333,0.0
9,9,0,0,False,True,-0.06666666666666665,0.06804138174397717
10,10,0,0,False,True,0.7333333333333333,0.4879500364742666
11,11,0,0,False,True,-0.3333333333333333,0.0
12,12,0,0,False,True,0.9999999999999999,0.27777777777777785
13,13,1,1,False,True,0.6,0.10567049305145206
14,14,0,0,False,True,0.9999999999999999,0.0
