,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0,0.9797958971132713
1,1,1,1,True,True,0,0.9541685964428458
2,2,0,0,False,True,0,0.0
3,3,1,1,True,True,0,0.984126984126984
4,4,0,0,False,True,0,0.9941690465022817
5,5,0,0,False,True,0,0.0
6,6,0,0,False,True,0,0.0
7,7,0,0,False,True,0,0.0
8,8,1,1,True,True,0,0.893205911948113
9,9,0,0,False,True,0,0.0
10,10,0,0,False,True,0,0.9885710532241613
11,11,0,0,False,True,0,0.0
12,12,0,0,False,True,0,0.0
13,13,0,0,False,True,0,0.8596900926459405
14,14,0,0,False,True,0,0.9676199750292725
