,id,pred1,pred2,label,agree,kt,cos_sim
0,0,0,0,False,True,0.5454545454545454,0.7454993164109749
1,1,1,1,True,True,-0.1515151515151515,0.8754655386119159
2,2,0,0,False,True,0.606060606060606,0.8058373793340823
3,3,1,1,True,True,-0.3333333333333333,0.0
4,4,0,0,False,True,0.2121212121212121,0.9547920752586628
5,5,0,0,False,True,-0.2121212121212121,0.6619168182176298
6,6,0,0,False,True,0.8181818181818181,0.8357039923266477
7,7,0,0,False,True,-0.2424242424242424,0.7756315349925288
8,8,1,1,True,True,-0.2,0.7994080650317896
9,9,0,0,False,True,-0.5151515151515151,0.8202924943750566
